Step 0288 | Loss: 691.0754 | L0: 1075.0 | Dead: 0
Step 0289 | Loss: 653.8790 | L0: 1075.0 | Dead: 0
Step 0290 | Loss: 781.0562 | L0: 1075.0 | Dead: 0
Step 0291 | Loss: 747.5990 | L0: 1075.0 | Dead: 0
Step 0292 | Loss: 692.5961 | L0: 1075.0 | Dead: 0
Step 0293 | Loss: 695.5842 | L0: 1075.0 | Dead: 0
Step 0294 | Loss: 713.4346 | L0: 1075.0 | Dead: 0
Step 0295 | Loss: 690.8513 | L0: 1075.0 | Dead: 0
Step 0296 | Loss: 695.2335 | L0: 1075.0 | Dead: 0
Step 0297 | Loss: 711.1017 | L0: 1075.0 | Dead: 0
Step 0298 | Loss: 700.2289 | L0: 1075.0 | Dead: 0
Step 0299 | Loss: 688.5660 | L0: 1075.0 | Dead: 0
Step 0300 | Loss: 641.5786 | L0: 1075.0 | Dead: 0
Step 0301 | Loss: 663.6599 | L0: 1075.0 | Dead: 0
Step 0302 | Loss: 702.9403 | L0: 1075.0 | Dead: 0
Step 0303 | Loss: 704.7470 | L0: 1075.0 | Dead: 0
Step 0304 | Loss: 659.1947 | L0: 1075.0 | Dead: 0
Step 0305 | Loss: 646.1035 | L0: 1075.0 | Dead: 0
Step 0306 | Loss: 666.1943 | L0: 1075.0 | Dead: 0
Step 0307 | Loss: 649.9264 | L0: 1075.0 | Dead: 0
Step 0308 | Loss: 684.1575 | L0: 1075.0 | Dead: 0
Step 0309 | Loss: 648.1616 | L0: 1075.0 | Dead: 0
Step 0310 | Loss: 652.1171 | L0: 1075.0 | Dead: 0
Step 0311 | Loss: 655.0602 | L0: 1075.0 | Dead: 0
Step 0312 | Loss: 685.1859 | L0: 1075.0 | Dead: 0
Step 0313 | Loss: 675.2215 | L0: 1075.0 | Dead: 0
Step 0314 | Loss: 654.8895 | L0: 1075.0 | Dead: 0
Step 0315 | Loss: 696.3967 | L0: 1075.0 | Dead: 0
Step 0316 | Loss: 674.9875 | L0: 1075.0 | Dead: 0
Step 0317 | Loss: 652.6312 | L0: 1075.0 | Dead: 0
Step 0318 | Loss: 638.6163 | L0: 1075.0 | Dead: 0
Step 0319 | Loss: 666.0442 | L0: 1075.0 | Dead: 0
Step 0320 | Loss: 670.2445 | L0: 1075.0 | Dead: 0
Step 0321 | Loss: 646.8253 | L0: 1075.0 | Dead: 0
Step 0322 | Loss: 653.0813 | L0: 1075.0 | Dead: 0
Step 0323 | Loss: 657.8975 | L0: 1075.0 | Dead: 0
Step 0324 | Loss: 644.5291 | L0: 1075.0 | Dead: 0
Step 0325 | Loss: 665.3077 | L0: 1075.0 | Dead: 0
